# TexasWater.txt
#
# Data from www.stat.psu.edu/~jglenn/stat505/18_cluster/18_cluster_hwk.html
#
# Ground water samples were collected from n = 127 sites in Texas.
#   The following variables were measured:
#
# site: a site identifier
# coord1: a site coordinate
# coord2: a site coordinate
# uranium:
# arsenic:
# boron:
# barium:
# moybdenum:
# selenium:
# vanadium:
# sulfate: SO4
# ttl.alk:
# bicarbonate:
# conductivity:
# pH:
#
site	coord1	coord2	uranium	arsenic	boron	barium	molybdenum	selenium	vanadium	sulfate	ttl.alk	bicarb	cond	pH
2485	33.4	100.706	2.82	2.5	520	39	4	0.2	10	795	104	62	1400	7.5
2489	33.268	100.675	4.16	1.3	496	4	4	0.2	25	2055	90	53	2700	7.9
2497	33.544	100.584	18.66	1.8	566	7	4	0.2	11	2235	98	56	2800	8.1
3406	33.302	100.542	12.72	0.5	719	13	12	0.2	29	1605	170	101	2700	7.5
3407	33.239	100.319	3.82	0.5	1328	4	4	0.2	17	990	186	113	3900	7.7
3408	33.233	100.566	8.75	0.5	1240	4	4	0.2	4	1900	40	24	3100	7.7
3410	33.226	100.532	2.29	0.5	1660	4	4	0.2	4	1850	92	46	2800	7.1
3412	33.241	100.508	7.22	1.3	2500	4	4	0.2	50	2200	80	47	2800	7.5
3416	33.259	100.443	9.76	0.5	5000	4	4	0.2	4	2350	46	22	13000	7.2
3421	33.291	100.431	7.72	3.5	1241	9	11	0.2	24	2350	74	43	5300	7.2
3436	33.358	100.475	27.38	5.8	7500	4	100	0.4	200	2100	65	35	5000	8.4
3437	33.322	100.435	5.14	3.3	664	17	17	0.2	166	1900	214	111	2800	7
3453	33.319	100.326	7.92	1.7	1000	40	4	0.2	60	500	226	125	2200	7.4
3455	33.358	100.317	11.12	2.9	1500	20	10	0.2	40	580	234	144	1700	7.9
3459	33.428	100.36	24.72	1.4	2500	4	25	0.2	50	2600	146	76	4100	7.3
3462	33.355	100.342	9.44	0.5	1000	10	10	0.2	20	900	226	121	2000	7.2
3465	33.424	100.401	47.78	4.6	7500	4	4	0.2	25	3600	252	139	4500	7.4
3480	33.416	100.436	35.3	5.4	2346	15	19	7.4	50	3900	82	48	5200	8.5
3482	33.404	100.424	18.06	3	1000	4	10	0.2	80	3000	82	48	2900	7.8
3493	33.486	100.459	35.92	3.1	1860	4	12	0.2	50	1900	136	76	2900	7.7
3495	33.282	100.318	3.2	0.5	500	40	4	0.2	5	225	302	174	1400	7.3
3497	33.274	100.264	1.22	0.5	830	133	4	1.7	33	275	280	159	1200	7.2
3498	33.311	100.253	7.15	0.5	600	20	4	0.2	10	1150	340	169	3000	7
3500	33.34	100.268	9.99	1.3	578	13	8	0.2	15	2550	141	81	3000	7.5
3504	33.347	100.283	6.08	0.5	1500	20	4	0.2	10	1050	260	134	3000	7.1
3506	33.319	100.353	10.5	2.6	100	4	4	0.2	4	2500	200	109	3000	7.6
3508	33.283	100.367	21.36	1.4	500	60	4	0.2	10	620	248	147	1500	7.8
3511	33.218	100.268	20.46	0.5	1100	6	7	0.2	9	2900	284	148	5000	7
3515	33.171	100.365	4.97	2.3	6250	50	100	0.2	50	2700	44	24	5000	8.2
3518	33.213	100.389	0.74	1	248	99	4	0.2	25	310	212	103	1500	7.1
3520	33.21	100.482	5.96	5.4	400	75	5	0.2	50	460	160	94	1000	7.4
3521	33.178	100.444	5.04	0.8	10	4	4	0.2	4	2000	186	96	2000	7.2
3522	33.141	100.392	14.98	0.5	620	4	4	0.2	25	3000	260	117	3800	6.7
3526	33.538	100.442	6.09	1.6	830	4	4	0.2	66	1850	210	110	2600	7.1
3528	33.536	100.425	11.05	2.1	664	100	4	0.2	66	2500	156	87	2500	7.3
3529	33.49	100.437	5.31	1.8	4980	4	66	0.2	17	2850	46	29	3400	7.7
3543	33.561	100.416	13.36	0.5	164	7	27	0.2	59	2050	176	104	3200	7.5
3545	33.495	100.479	22.27	1.4	1500	4	4	0.2	50	2650	96	52	2700	7.4
3551	33.529	100.384	28.31	3.4	996	4	17	0.2	33	3600	120	68	6500	7.3
3557	33.51	100.412	21.95	0.5	2170	4	25	0.2	25	2750	48	29	3000	7.8
3561	33.531	100.351	20.87	0.5	4000	4	4	0.2	4	4000	352	182	14000	7.1
