# YPerchCB1.txt
#
# data reconstructed from Table 2 in Bronte, C.R., J.H. Selgeby, and D.V. Swedberg.  1993.  Dynamics of a Yellow
#  perch population in western Lake Superior.  North American Journal of Fisheries Management, 13:511-523.
#
# age: age (years)
# sex: sex -- M=male, F=female
# mat: maturity -- Y=yes, N=no
#
age	sex	mat
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	Y
1	F	Y
1	F	Y
1	F	Y
1	F	Y
1	F	Y
1	F	Y
1	F	Y
1	F	Y
1	F	Y
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	N
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
2	F	Y
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	N
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
