"Species","Origin","Age","DBH","Ht","Pst","Pbr","Pf","Pabo","Country","GAge"
"Picea abies (L.) Karst.","Natural",76,42.5,30.6,836.8,81.33,45.5,963.7,"GER","50-100"
"Picea abies (L.) Karst.","Natural",18,9.2,7,10.92,1.36,3.75,16.03,"GER","<50"
"Picea abies (L.) Karst.","Natural",19,8.6,7.5,8.93,1.08,2.75,12.76,"GER","<50"
"Picea abies (L.) Karst.","Natural",13,3.5,4.2,1.05,0.36,0.378,1.79,"GER","<50"
"Picea abies (L.) Karst.","Natural",15,6.2,6.3,4.25,0.89,1.81,6.95,"GER","<50"
"Picea abies (L.) Karst.","Natural",17,10.8,9.5,15.06,0.85,4.74,20.65,"GER","<50"
"Picea abies (L.) Karst.","Natural",34,7.96,6.35,7.06,0.72,1.87,9.65,"GER","<50"
"Picea abies (L.) Karst.","Natural",34,13.4,11,33.74,0.84,7.3,41.88,"GER","<50"
"Picea abies (L.) Karst.","Natural",36,12.1,10.5,25.94,1.22,6.73,33.89,"GER","<50"
"Picea abies (L.) Karst.","Natural",37,10.2,9.08,16.39,1.01,6.37,23.77,"GER","<50"
"Picea abies (L.) Karst.","Natural",35,8.9,7.7,9.2,0.65,3.7,13.55,"GER","<50"
"Picea abies (L.) Karst.","Natural",43,15.4,16,52.79,2.66,7.6,63.05,"GER","<50"
"Picea abies (L.) Karst.","Natural",46,22,18.5,131.36,4.03,23.53,158.9,"GER","<50"
"Picea abies (L.) Karst.","Natural",43,29.2,19.8,196.41,4.45,30.64,231.5,"GER","<50"
"Picea abies (L.) Karst.","Natural",41,20.2,16.5,84.84,4.26,20.25,109.4,"GER","<50"
"Picea abies (L.) Karst.","Natural",42,33,21,247.76,5,48.4,301.2,"GER","<50"
"Picea abies (L.) Karst.","Natural",45,22.9,18.6,120.86,NA,15.46,137.6,"GER","<50"
"Picea abies (L.) Karst.","Natural",73,26.7,23.03,207.78,3.15,11.94,222.9,"GER","50-100"
"Picea abies (L.) Karst.","Natural",72,27.4,23.83,248.25,6.2,31.31,285.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",72,36,25.75,370.32,14.23,47.37,431.9,"GER","50-100"
"Picea abies (L.) Karst.","Natural",71,38.8,26.9,470.98,6.9,48.39,526.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",71,47.4,29.4,847.46,28.58,75.64,951.7,"GER","50-100"
"Picea abies (L.) Karst.","Natural",112,28,27.8,342.88,8.76,23.67,375.3,"GER",">100"
"Picea abies (L.) Karst.","Natural",114,31.5,29.2,470.94,10.16,36.39,517.5,"GER",">100"
"Picea abies (L.) Karst.","Natural",111,37.7,28.5,610.56,15.77,47.45,673.8,"GER",">100"
"Picea abies (L.) Karst.","Natural",112,40.4,31,753.7,23.81,62.65,840.2,"GER",">100"
"Picea abies (L.) Karst.","Natural",144,30.2,24.4,309.02,16.89,20.04,346,"GER",">100"
"Picea abies (L.) Karst.","Natural",145,32,25.52,407.85,12.53,24.32,444.7,"GER",">100"
"Picea abies (L.) Karst.","Natural",138,39.8,27,538.71,38.09,60.75,637.5,"GER",">100"
"Picea abies (L.) Karst.","Natural",148,45.8,27.95,832.07,37.28,71.73,941.1,"GER",">100"
"Picea abies (L.) Karst.","Natural",137,52.8,32,1256.5,39.85,100.4,1396.7,"GER",">100"
"Picea abies (L.) Karst.","Natural",58,30.3,25,315.8,8,19.5,343.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",58,19,19,98.2,3.5,6.4,108.1,"GER","50-100"
"Picea abies (L.) Karst.","Natural",58,27.9,22.3,271.4,2.4,24.7,298.5,"GER","50-100"
"Picea abies (L.) Karst.","Natural",58,20.6,21,160.6,2.4,15.3,178.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",58,17.6,20.7,116.4,1.1,7,124.5,"GER","50-100"
"Picea abies (L.) Karst.","Natural",58,23.7,21.2,189.1,1.6,13.6,204.3,"GER","50-100"
