river,year,month,cfs
Brule,1985,September,266
Brule,1986,September,263
Brule,1987,September,127
Brule,1988,September,150
Brule,1943,October,153
Brule,1944,October,114
Brule,1945,October,157
Brule,1946,October,143
Brule,1947,October,150
Brule,1948,October,118
Brule,1949,October,110
Brule,1950,October,140
Brule,1951,October,164
Brule,1952,October,215
Brule,1953,October,136
Brule,1954,October,144
Brule,1955,October,176
Brule,1956,October,159
Brule,1957,October,139
Brule,1958,October,141
Brule,1959,October,148
Brule,1960,October,148
Brule,1961,October,134
Brule,1962,October,127
Brule,1963,October,133
Brule,1964,October,117
Brule,1965,October,138
Brule,1966,October,196
Brule,1967,October,152
Brule,1968,October,134
Brule,1969,October,210
Brule,1970,October,154
Brule,1971,October,174
Brule,1972,October,244
Brule,1973,October,184
Brule,1974,October,188
Brule,1975,October,135
Brule,1976,October,130
Brule,1977,October,124
Brule,1978,October,259
Brule,1979,October,149
Brule,1980,October,158
Brule,1981,October,141
Brule,1985,October,215
Brule,1986,October,244
Brule,1987,October,235
Brule,1988,October,134
Brule,1943,November,138
Brule,1944,November,151
Brule,1945,November,154
Brule,1946,November,147
Brule,1947,November,171
Brule,1948,November,127
Brule,1949,November,119
Brule,1950,November,130
Brule,1951,November,141
Brule,1952,November,225
Brule,1953,November,132
Brule,1954,November,166
Brule,1955,November,169
Brule,1956,November,189
Brule,1957,November,158
Brule,1958,November,171
Brule,1959,November,176
Brule,1960,November,127
Brule,1961,November,173
Brule,1962,November,144
Brule,1963,November,127
Brule,1964,November,121
Brule,1965,November,138
Brule,1966,November,147
Brule,1967,November,142
Brule,1968,November,135
Brule,1969,November,159
Brule,1970,November,157
Brule,1971,November,205
Brule,1972,November,295
Brule,1973,November,187
Brule,1974,November,171
Brule,1975,November,169
Brule,1976,November,187
Brule,1977,November,121
Brule,1978,November,189
Brule,1979,November,138
Brule,1980,November,169
Brule,1981,November,142
Brule,1985,November,177
Brule,1986,November,179
Brule,1987,November,181
Brule,1988,November,150
Brule,1943,December,114
Brule,1944,December,119
Brule,1945,December,145
Brule,1946,December,129
Brule,1947,December,146
Brule,1948,December,113
Brule,1949,December,124
Brule,1950,December,128
Brule,1951,December,138
Brule,1952,December,171
Brule,1953,December,139
Brule,1954,December,180
Brule,1955,December,153
Brule,1956,December,159
Brule,1957,December,151
Brule,1958,December,148
Brule,1959,December,129
Brule,1960,December,126
Brule,1961,December,138
Brule,1962,December,132
Brule,1963,December,126
Brule,1964,December,119
Brule,1965,December,124
Brule,1966,December,171
Brule,1967,December,128
Brule,1968,December,131
Brule,1969,December,146
Brule,1970,December,126
Brule,1971,December,164
Brule,1972,December,205
Brule,1973,December,136
Brule,1974,December,155
Brule,1975,December,139
Brule,1976,December,162
Brule,1977,December,125
Brule,1978,December,153
Brule,1979,December,139
Brule,1980,December,138
Brule,1981,December,124
Brule,1985,December,164
Brule,1986,December,153
Brule,1987,December,162
Brule,1988,December,153
