"city","method","method2"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Des Moines","reuse","reuse"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","curbside","recycle"
"Minneapolis","drop-off facility","recycle"
"Minneapolis","drop-off facility","recycle"
"Minneapolis","throw-away","throw-away"
"Minneapolis","throw-away","throw-away"
"Minneapolis","throw-away","throw-away"
"Minneapolis","throw-away","throw-away"
"Minneapolis","throw-away","throw-away"
"Minneapolis","throw-away","throw-away"
"Minneapolis","throw-away","throw-away"
"Minneapolis","throw-away","throw-away"
"Minneapolis","throw-away","throw-away"
"Minneapolis","throw-away","throw-away"
"Minneapolis","reuse","reuse"
"Minneapolis","reuse","reuse"
"Minneapolis","reuse","reuse"
"Minneapolis","reuse","reuse"
"Minneapolis","reuse","reuse"
"Minneapolis","reuse","reuse"
