# AnimalTesting.txt
#
# year: Year of GSS survey (1993,2000)
# response: Respondent's response to question "It is OK to perform tests on animals in order to save humans."
#
year response
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
2000 StrAgree
1993 Agree
1993 Agree
1993 Agree
