# RuffeLarvalDiet.txt
#
# Data from Ogle, D.H., B.A. Ray, and W.P. Brown.  2004.  Diet of larval ruffe (Gymnocephalus
#   cernuus) in the St. Louis River Harbor, Lake Superior.  Journal of Great Lakes Research
#   30:287-292.
#
# date.code: A date code (1=3rd week of May, 2=Last week of May, 3=1st week of June,
#                         4=2nd week of June, 5= 3rd week of June, 6=Last week of June)
# loc: Location of capture (Allouez or Whaleback)
# loc.date: A combination of location and date.
# len: ruffe length (mm).
# o.cope: A logical indicating the occurrence of copepods.
# o.daph: A logical indicating the occurrence of Daphnia.
# o.bosm: A logical indicating the occurrence of Bosmina.
# o.eubosm: A logical indicating the occurrence of Eubosmina.
# o.chyd: A logical indicating the occurrence of chydorids.
# o.osta: A logical indicating the occurrence of ostracods.
# o.diaph: A logical indicating the occurrence of Diaphanasoma.
# o.other: A logical indicating the occurrence of other items.
# n.cope: The number of observed copepods.
# n.daph: The number of observed Daphnia.
# n.bosm: The number of observed Bosmina.
# n.eubosm: The number of observed Eubosmina.
# n.chyd: The number of observed chydorids.
# n.osta: The number of observed ostracods.
# n.diaph: The number of observed Diaphanasoma.
# n.other: The number of observed other items.
#
date.code	loc	loc.date	len	o.cope	o.daph	o.bosm	o.eubosm	o.chyd	o.ostra	o.diaph	o.other	n.cope	n.daph	n.bosm	n.eubosm	n.chyd	n.ostra	n.diaph	n.other
5	Allouez	A5	10	Y	Y	Y	N	Y	N	N	Y	2	7	1	0	1	0	0	1
5	Allouez	A5	11	Y	Y	Y	N	N	N	N	N	3	8	1	0	0	0	0	0
5	Allouez	A5	11	Y	Y	Y	N	Y	N	N	N	6	15	1	0	3	0	0	0
5	Allouez	A5	11	Y	Y	N	N	N	N	N	N	3	24	0	0	0	0	0	0
5	Allouez	A5	11	Y	Y	Y	N	Y	N	N	N	4	16	1	0	2	0	0	0
5	Allouez	A5	12	Y	Y	N	N	N	N	N	Y	6	15	0	0	0	0	0	1
5	Allouez	A5	12	Y	Y	Y	N	Y	Y	N	N	9	16	2	0	2	1	0	0
5	Allouez	A5	12	Y	Y	Y	N	N	Y	N	N	5	10	4	0	0	1	0	0
5	Allouez	A5	12	Y	Y	Y	N	N	N	N	N	3	32	2	0	0	0	0	0
5	Allouez	A5	12	Y	Y	Y	N	Y	Y	N	N	17	11	3	0	6	1	0	0
5	Allouez	A5	13	Y	Y	Y	N	N	N	N	N	4	25	1	0	0	0	0	0
5	Allouez	A5	13	Y	Y	Y	N	N	N	N	N	4	19	2	0	0	0	0	0
5	Allouez	A5	13	Y	Y	N	N	N	N	N	N	14	15	0	0	0	0	0	0
5	Allouez	A5	13	Y	Y	N	N	Y	N	N	N	12	25	0	0	1	0	0	0
5	Allouez	A5	13	Y	Y	Y	N	N	N	N	N	23	21	2	0	0	0	0	0
5	Allouez	A5	14	Y	Y	Y	N	N	N	Y	N	3	27	1	0	0	0	1	0
5	Allouez	A5	14	Y	Y	Y	N	Y	N	N	N	9	15	3	0	1	0	0	0
5	Allouez	A5	15	N	Y	N	N	N	N	N	N	0	36	0	0	0	0	0	0
5	Allouez	A5	15	Y	Y	N	N	Y	N	N	N	7	18	0	0	1	0	0	0
5	Allouez	A5	15	Y	Y	N	N	N	N	Y	N	13	19	0	0	0	0	1	0
5	Allouez	A5	15	Y	Y	Y	N	Y	N	N	N	3	22	3	0	4	0	0	0
5	Allouez	A5	15	Y	Y	Y	N	Y	N	N	Y	27	14	1	0	5	0	0	1
5	Allouez	A5	16	N	Y	N	N	N	N	Y	N	0	31	0	0	0	0	2	0
5	Allouez	A5	17	Y	Y	N	N	Y	Y	Y	N	32	8	0	0	4	2	2	0
6	Allouez	A6	5	Y	N	Y	N	N	N	N	N	2	0	2	0	0	0	0	0
6	Allouez	A6	5	N	N	Y	N	N	N	N	N	0	0	6	0	0	0	0	0
6	Allouez	A6	5	N	N	Y	N	N	N	N	N	0	0	4	0	0	0	0	0
6	Allouez	A6	5	Y	N	N	N	N	N	N	N	2	0	0	0	0	0	0	0
6	Allouez	A6	5	Y	N	N	N	N	N	N	Y	4	0	0	0	0	0	0	1
6	Allouez	A6	6	Y	N	Y	N	N	N	N	N	2	0	1	0	0	0	0	0
6	Allouez	A6	6	Y	N	Y	N	N	N	N	N	6	0	1	0	0	0	0	0
6	Allouez	A6	6	N	N	Y	N	N	N	N	N	0	0	6	0	0	0	0	0
6	Allouez	A6	6	Y	N	N	N	N	N	N	N	7	0	0	0	0	0	0	0
6	Allouez	A6	6	Y	N	N	N	N	Y	N	N	4	0	0	0	0	1	0	0
6	Allouez	A6	7	N	N	Y	N	N	N	N	N	0	0	6	0	0	0	0	0
6	Allouez	A6	7	Y	N	Y	N	N	Y	N	N	4	0	1	0	0	1	0	0
1	Whaleback	W1	4	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
1	Whaleback	W1	4	Y	N	N	N	N	N	N	N	1	0	0	0	0	0	0	0
1	Whaleback	W1	4	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
1	Whaleback	W1	4	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
1	Whaleback	W1	4	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
1	Whaleback	W1	5	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
1	Whaleback	W1	5	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
1	Whaleback	W1	5	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
2	Whaleback	W2	3	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
2	Whaleback	W2	3	Y	N	N	N	N	N	N	N	2	0	0	0	0	0	0	0
2	Whaleback	W2	3	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
2	Whaleback	W2	3	Y	N	N	N	N	N	N	N	2	0	0	0	0	0	0	0
2	Whaleback	W2	3	Y	N	Y	N	N	N	N	N	2	0	1	0	0	0	0	0
2	Whaleback	W2	3	Y	N	N	N	N	N	N	N	2	0	0	0	0	0	0	0
2	Whaleback	W2	4	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
2	Whaleback	W2	4	N	N	Y	N	N	N	N	N	0	0	3	0	0	0	0	0
2	Whaleback	W2	4	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
2	Whaleback	W2	4	N	N	Y	Y	N	N	N	N	0	0	1	1	0	0	0	0
2	Whaleback	W2	4	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
2	Whaleback	W2	5	Y	N	N	N	N	N	N	N	2	0	0	0	0	0	0	0
2	Whaleback	W2	5	Y	N	N	N	N	N	N	N	1	0	0	0	0	0	0	0
2	Whaleback	W2	5	Y	N	N	N	N	Y	N	N	2	0	0	0	0	1	0	0
2	Whaleback	W2	5	N	N	Y	N	N	N	N	N	0	0	3	0	0	0	0	0
2	Whaleback	W2	5	N	N	Y	N	N	N	N	N	0	0	1	0	0	0	0	0
2	Whaleback	W2	6	Y	N	Y	N	N	N	N	N	7	0	1	0	0	0	0	0
2	Whaleback	W2	6	Y	N	N	N	N	N	N	N	7	0	0	0	0	0	0	0
2	Whaleback	W2	6	Y	N	N	N	N	N	N	N	6	0	0	0	0	0	0	0
2	Whaleback	W2	6	Y	N	N	N	N	N	Y	N	6	0	0	0	0	0	1	0
2	Whaleback	W2	6	Y	N	N	N	N	N	N	N	4	0	0	0	0	0	0	0
2	Whaleback	W2	7	Y	N	N	N	N	N	N	N	10	0	0	0	0	0	0	0
2	Whaleback	W2	7	Y	N	N	N	N	N	N	N	9	0	0	0	0	0	0	0
2	Whaleback	W2	7	Y	N	N	N	N	N	N	N	11	0	0	0	0	0	0	0
2	Whaleback	W2	7	Y	N	N	N	N	N	N	N	5	0	0	0	0	0	0	0
2	Whaleback	W2	7	Y	N	Y	N	N	N	N	N	5	0	1	0	0	0	0	0
2	Whaleback	W2	8	Y	N	Y	N	N	N	N	N	2	0	1	0	0	0	0	0
2	Whaleback	W2	8	Y	N	N	N	N	N	N	N	5	0	0	0	0	0	0	0
2	Whaleback	W2	8	Y	N	N	N	N	N	N	N	7	0	0	0	0	0	0	0
2	Whaleback	W2	8	Y	N	N	N	N	N	N	N	6	0	0	0	0	0	0	0
3	Whaleback	W3	4	N	N	Y	Y	N	N	N	N	0	0	2	1	0	0	0	0
3	Whaleback	W3	4	N	N	Y	N	N	N	N	N	0	0	3	0	0	0	0	0
3	Whaleback	W3	4	N	N	Y	N	N	N	N	N	0	0	3	0	0	0	0	0
3	Whaleback	W3	4	N	N	Y	N	N	N	N	N	0	0	2	0	0	0	0	0
3	Whaleback	W3	4	Y	N	Y	N	N	N	N	N	1	0	5	0	0	0	0	0
3	Whaleback	W3	5	N	N	Y	N	N	N	N	N	0	0	3	0	0	0	0	0
3	Whaleback	W3	5	Y	N	N	N	N	N	N	N	4	0	0	0	0	0	0	0
3	Whaleback	W3	5	Y	N	Y	N	N	N	N	N	3	0	2	0	0	0	0	0
3	Whaleback	W3	5	N	N	Y	N	N	N	N	N	0	0	5	0	0	0	0	0
3	Whaleback	W3	5	Y	N	Y	N	N	N	N	N	1	0	2	0	0	0	0	0
3	Whaleback	W3	6	Y	N	N	N	N	N	N	N	5	0	0	0	0	0	0	0
3	Whaleback	W3	6	Y	N	Y	N	N	N	N	N	1	0	8	0	0	0	0	0
3	Whaleback	W3	6	Y	N	N	N	N	N	N	N	3	0	0	0	0	0	0	0
3	Whaleback	W3	7	Y	N	Y	N	N	N	N	N	6	0	1	0	0	0	0	0
3	Whaleback	W3	9	Y	N	N	N	N	N	N	N	4	0	0	0	0	0	0	0
4	Whaleback	W4	4	N	N	Y	Y	N	N	N	N	0	0	9	2	0	0	0	0
4	Whaleback	W4	4	N	N	Y	N	N	N	N	N	0	0	4	0	0	0	0	0
4	Whaleback	W4	4	N	N	Y	N	N	N	N	N	0	0	6	0	0	0	0	0
4	Whaleback	W4	4	N	N	Y	N	N	N	N	N	0	0	4	0	0	0	0	0
4	Whaleback	W4	4	N	N	Y	Y	N	N	N	N	0	0	9	1	0	0	0	0
4	Whaleback	W4	5	Y	N	Y	N	N	N	N	N	3	0	2	0	0	0	0	0
4	Whaleback	W4	5	N	N	Y	Y	Y	N	N	N	0	0	17	2	1	0	0	0
4	Whaleback	W4	5	N	N	Y	Y	N	N	N	N	0	0	17	1	0	0	0	0
4	Whaleback	W4	5	Y	N	Y	N	N	N	N	N	1	0	6	0	0	0	0	0
4	Whaleback	W4	5	Y	N	Y	Y	N	N	N	N	3	0	4	1	0	0	0	0
4	Whaleback	W4	6	Y	N	Y	Y	N	N	N	N	1	0	8	1	0	0	0	0
4	Whaleback	W4	6	Y	N	N	N	N	N	Y	N	7	0	0	0	0	0	1	0
4	Whaleback	W4	6	Y	N	Y	N	N	N	N	N	3	0	2	0	0	0	0	0
4	Whaleback	W4	6	Y	N	Y	N	N	N	N	N	1	0	11	0	0	0	0	0
4	Whaleback	W4	6	N	N	Y	Y	Y	N	N	N	0	0	14	2	1	0	0	0
4	Whaleback	W4	7	Y	Y	Y	N	N	N	N	N	6	1	1	0	0	0	0	0
4	Whaleback	W4	7	Y	N	Y	N	N	N	N	N	2	0	1	0	0	0	0	0
