Species,suborder,infraorder,Family,SVL,Weight,limbs,Sex,mass_measure
Acanthocercus atricollis,Sauria,Acrodontia,Agamidae,145.00,121.5,legged,unsexed,heaviest
Acanthocercus cyanogaster,Sauria,Acrodontia,Agamidae,107.00,39.0,legged,unsexed,heaviest
Acanthocercus phillipsii,Sauria,Acrodontia,Agamidae,67.00,8.6,legged,unsexed,heaviest
Agama agama,Sauria,Acrodontia,Agamidae,135.00,100.0,legged,male,heaviest
Agama caudospinosa,Sauria,Acrodontia,Agamidae,130.27,82.1,legged,male,mean
Agama hispida,Sauria,Acrodontia,Agamidae,66.60,14.1,legged,unsexed,mean
Agama impalearis,Sauria,Acrodontia,Agamidae,131.00,100.0,legged,male,heaviest
Agama mwanzae,Sauria,Acrodontia,Agamidae,160.00,110.0,legged,unsexed,heaviest
Agama planiceps,Sauria,Acrodontia,Agamidae,114.00,49.3,legged,unsexed,heaviest
Agama rueppelli,Sauria,Acrodontia,Agamidae,72.50,26.8,legged,female,mean
Calotes andamanensis,Sauria,Acrodontia,Agamidae,84.10,12.5,legged,male,heaviest
Calotes aurantolabium,Sauria,Acrodontia,Agamidae,67.88,6.3,legged,female,heaviest
Calotes calotes,Sauria,Acrodontia,Agamidae,101.00,38.2,legged,unsexed,heaviest
Calotes versicolor,Sauria,Acrodontia,Agamidae,100.25,23.8,legged,male,mean
Chlamydosaurus kingii,Sauria,Acrodontia,Agamidae,227.23,635.0,legged,unsexed,mean
Ctenophorus adelaidensis,Sauria,Acrodontia,Agamidae,46.50,2.0,legged,unsexed,mean
Ctenophorus caudicinctus,Sauria,Acrodontia,Agamidae,101.00,13.0,legged,unsexed,heaviest
Ctenophorus clayi,Sauria,Acrodontia,Agamidae,49.80,2.7,legged,unsexed,mean
Ctenophorus fionni,Sauria,Acrodontia,Agamidae,96.00,11.6,legged,unsexed,mean
Ctenophorus fordi,Sauria,Acrodontia,Agamidae,53.15,4.1,legged,unsexed,mean
Ctenophorus isolepis,Sauria,Acrodontia,Agamidae,64.99,5.5,legged,unsexed,mean
Ctenophorus maculatus,Sauria,Acrodontia,Agamidae,67.00,8.7,legged,unsexed,heaviest
Ctenophorus maculosus,Sauria,Acrodontia,Agamidae,64.60,8.8,legged,male,mean
Ctenophorus nuchalis,Sauria,Acrodontia,Agamidae,95.25,27.0,legged,unsexed,mean
Ctenophorus ornatus,Sauria,Acrodontia,Agamidae,93.00,20.0,legged,unsexed,heaviest
Ctenophorus pictus,Sauria,Acrodontia,Agamidae,62.50,8.0,legged,unsexed,mean
Ctenophorus reticulatus,Sauria,Acrodontia,Agamidae,88.53,15.1,legged,unsexed,mean
Ctenophorus scutulatus,Sauria,Acrodontia,Agamidae,94.87,18.3,legged,unsexed,mean
Diporiphora winneckei,Sauria,Acrodontia,Agamidae,56.90,2.5,legged,unsexed,mean
Draco biaro,Sauria,Acrodontia,Agamidae,73.25,4.2,legged,male,mean
Draco bimaculatus,Sauria,Acrodontia,Agamidae,66.40,3.9,legged,female,mean
Draco blanfordii,Sauria,Acrodontia,Agamidae,105.00,15.0,legged,unsexed,mean
Draco caerulhians,Sauria,Acrodontia,Agamidae,74.59,6.4,legged,female,mean
Draco cornutus,Sauria,Acrodontia,Agamidae,80.37,8.0,legged,female,mean
Draco cristatellus,Sauria,Acrodontia,Agamidae,88.00,9.9,legged,female,heaviest
Draco cyanopterus,Sauria,Acrodontia,Agamidae,91.33,12.6,legged,female,mean
Draco fimbriatus,Sauria,Acrodontia,Agamidae,86.50,18.7,legged,unsexed,mean
Draco guentheri,Sauria,Acrodontia,Agamidae,71.50,4.4,legged,male,mean
Draco haematopogon,Sauria,Acrodontia,Agamidae,80.75,5.7,legged,unsexed,mean
Draco lineatus,Sauria,Acrodontia,Agamidae,71.93,6.0,legged,female,mean
Draco maculatus,Sauria,Acrodontia,Agamidae,75.00,6.6,legged,female,mean
Draco maximus,Sauria,Acrodontia,Agamidae,128.55,32.8,legged,female,mean
Draco melanopogon,Sauria,Acrodontia,Agamidae,81.35,5.3,legged,female,mean
Draco mindanensis,Sauria,Acrodontia,Agamidae,91.50,7.3,legged,male,mean
Draco obscurus,Sauria,Acrodontia,Agamidae,94.69,9.3,legged,male,mean
Draco ornatus,Sauria,Acrodontia,Agamidae,83.58,8.2,legged,female,mean
Draco palawanensis,Sauria,Acrodontia,Agamidae,81.53,6.9,legged,female,mean
Draco quadrasi,Sauria,Acrodontia,Agamidae,69.75,3.5,legged,male,mean
Draco quinquefasciatus,Sauria,Acrodontia,Agamidae,99.17,11.6,legged,female,mean
Draco reticulatus,Sauria,Acrodontia,Agamidae,82.24,10.2,legged,female,mean
Draco spilopterus,Sauria,Acrodontia,Agamidae,87.02,10.6,legged,female,mean
Draco taeniopterus,Sauria,Acrodontia,Agamidae,71.60,4.8,legged,female,mean
Draco volans,Sauria,Acrodontia,Agamidae,78.00,5.4,legged,female,mean
Japalura swinhonis,Sauria,Acrodontia,Agamidae,74.20,11.2,legged,male,mean
Laudakia caucasia,Sauria,Acrodontia,Agamidae,150.00,69.8,legged,unsexed,mean
Laudakia lehmanni,Sauria,Acrodontia,Agamidae,120.58,54.9,legged,unsexed,mean
Laudakia stellio,Sauria,Acrodontia,Agamidae,100.75,53.4,legged,male,mean
Laudakia tuberculata,Sauria,Acrodontia,Agamidae,150.00,94.2,legged,unsexed,heaviest
Leiolepis belliana,Sauria,Acrodontia,Agamidae,177.80,40.0,legged,unsexed,heaviest
Leiolepis reevesii,Sauria,Acrodontia,Agamidae,105.11,18.6,legged,female,mean
Lophognathus longirostris,Sauria,Acrodontia,Agamidae,89.00,10.4,legged,unsexed,mean
Lophognathus temporalis,Sauria,Acrodontia,Agamidae,100.13,38.1,legged,unsexed,mean
Moloch horridus,Sauria,Acrodontia,Agamidae,89.70,31.4,legged,unsexed,mean
Otocryptis wiegmanni,Sauria,Acrodontia,Agamidae,77.00,8.0,legged,male,heaviest
Phrynocephalus guinanensis,Sauria,Acrodontia,Agamidae,80.00,15.2,legged,female,heaviest
Phrynocephalus guttatus,Sauria,Acrodontia,Agamidae,46.96,4.1,legged,male,mean
Phrynocephalus helioscopus,Sauria,Acrodontia,Agamidae,53.00,6.9,legged,unsexed,mean
Phrynocephalus interscapularis,Sauria,Acrodontia,Agamidae,35.88,1.0,legged,unsexed,mean
Phrynocephalus mystaceus,Sauria,Acrodontia,Agamidae,101.00,34.3,legged,unsexed,heaviest
Phrynocephalus przewalskii,Sauria,Acrodontia,Agamidae,52.60,5.4,legged,unsexed,mean
Phrynocephalus vlangalii,Sauria,Acrodontia,Agamidae,62.10,8.1,legged,female,mean
Physignathus cocincinus,Sauria,Acrodontia,Agamidae,197.50,288.0,legged,unsexed,mean
Physignathus lesueurii,Sauria,Acrodontia,Agamidae,250.00,559.2,legged,unsexed,heaviest
Pogona barbata,Sauria,Acrodontia,Agamidae,250.00,373.0,legged,unsexed,heaviest
Pogona minor,Sauria,Acrodontia,Agamidae,126.24,30.8,legged,unsexed,mean
Pogona vitticeps,Sauria,Acrodontia,Agamidae,250.00,900.0,legged,unsexed,heaviest
Pseudocalotes larutensis,Sauria,Acrodontia,Agamidae,77.30,7.1,legged,male,heaviest
Pseudotrapelus sinaitus,Sauria,Acrodontia,Agamidae,90.00,28.5,legged,female,heaviest
Rankinia diemensis,Sauria,Acrodontia,Agamidae,65.15,10.0,legged,female,mean
Trapelus agilis,Sauria,Acrodontia,Agamidae,93.25,30.4,legged,unsexed,mean
Trapelus mutabilis,Sauria,Acrodontia,Agamidae,85.55,15.0,legged,unsexed,mean
Trapelus pallidus,Sauria,Acrodontia,Agamidae,85.00,29.5,legged,unsexed,heaviest
Trapelus sanguinolentus,Sauria,Acrodontia,Agamidae,84.50,20.2,legged,female,mean
Trapelus savignii,Sauria,Acrodontia,Agamidae,92.25,33.0,legged,male,mean
Tympanocryptis lineata,Sauria,Acrodontia,Agamidae,55.00,9.7,legged,unsexed,mean
Tympanocryptis tetraporophora,Sauria,Acrodontia,Agamidae,53.70,6.1,legged,male,mean
Uromastyx acanthinura,Sauria,Acrodontia,Agamidae,400.00,600.0,legged,unsexed,heaviest
Uromastyx aegyptia,Sauria,Acrodontia,Agamidae,318.70,851.5,legged,male,mean
Uromastyx dispar,Sauria,Acrodontia,Agamidae,231.60,500.0,legged,unsexed,heaviest
Uromastyx hardwickii,Sauria,Acrodontia,Agamidae,178.00,130.1,legged,unsexed,mean
Uromastyx ornata,Sauria,Acrodontia,Agamidae,152.75,132.1,legged,female,mean
Amphisbaena alba,Amphisbaenia,amphisbaenia_(Laterata),Amphisbaenidae,444.50,210.0,Limbless,unsexed,mean
Amphisbaena fuliginosa,Amphisbaenia,amphisbaenia_(Laterata),Amphisbaenidae,500.00,73.0,Limbless,unsexed,heaviest
Amphisbaena infraorbitale,Amphisbaenia,amphisbaenia_(Laterata),Amphisbaenidae,461.00,125.0,Limbless,female,mean
Amphisbaena mertensii,Amphisbaenia,amphisbaenia_(Laterata),Amphisbaenidae,360.00,27.5,Limbless,female,heaviest
Amphisbaena microcephalum,Amphisbaenia,amphisbaenia_(Laterata),Amphisbaenidae,390.11,58.7,Limbless,unsexed,mean
Amphisbaena roberti,Amphisbaenia,amphisbaenia_(Laterata),Amphisbaenidae,231.00,6.5,Limbless,female,mean
Chirindia langi,Amphisbaenia,amphisbaenia_(Laterata),Amphisbaenidae,129.45,0.7,Limbless,unsexed,mean
Anguis fragilis,Sauria,Anguimorpha,Anguidae,181.15,14.0,Limbless,unsexed,mean
Barisia imbricata,Sauria,Anguimorpha,Anguidae,109.95,31.8,legged,female,mean
Diploglossus lessonae,Sauria,Anguimorpha,Anguidae,146.50,54.3,legged,female,mean
Elgaria kingii,Sauria,Anguimorpha,Anguidae,93.00,10.0,legged,male,mean
Elgaria multicarinata,Sauria,Anguimorpha,Anguidae,100.60,31.7,legged,unsexed,mean
Ophisaurus attenuatus,Sauria,Anguimorpha,Anguidae,204.77,29.0,Limbless,unsexed,mean
Ophisaurus ventralis,Sauria,Anguimorpha,Anguidae,306.00,32.2,Limbless,unsexed,heaviest
Pseudopus apodus,Sauria,Anguimorpha,Anguidae,424.75,616.0,reduced,male,mean
Anniella pulchra,Sauria,Anguimorpha,Anniellidae,140.70,4.7,Limbless,unsexed,mean
Bipes biporus,Amphisbaenia,amphisbaenia_(Laterata),Bipedidae,190.80,5.2,reduced,unsexed,mean
Bipes tridactylus,Amphisbaenia,amphisbaenia_(Laterata),Bipedidae,140.00,5.3,reduced,female,heaviest
Blanus cinereus,Amphisbaenia,amphisbaenia_(Laterata),Blanidae,174.90,6.0,Limbless,unsexed,mean
Blanus strauchi,Amphisbaenia,amphisbaenia_(Laterata),Blanidae,157.70,6.0,Limbless,unsexed,mean
Bradypodion pumilum,Sauria,Acrodontia,Chamaeleonidae,70.00,10.6,legged,unsexed,heaviest
Brookesia exarmata,Sauria,Acrodontia,Chamaeleonidae,22.90,0.3,legged,female,mean
Brookesia stumpffi,Sauria,Acrodontia,Chamaeleonidae,55.00,4.0,legged,female,heaviest
Brookesia superciliaris,Sauria,Acrodontia,Chamaeleonidae,41.00,2.8,legged,male,heaviest
Calumma brevicorne,Sauria,Acrodontia,Chamaeleonidae,125.00,57.0,legged,male,heaviest
Calumma gastrotaenia,Sauria,Acrodontia,Chamaeleonidae,60.00,5.2,legged,female,heaviest
Chamaeleo bitaeniatus,Sauria,Acrodontia,Chamaeleonidae,88.00,15.7,legged,unsexed,heaviest
Chamaeleo calyptratus,Sauria,Acrodontia,Chamaeleonidae,239.00,290.0,legged,male,heaviest
Chamaeleo chamaeleon,Sauria,Acrodontia,Chamaeleonidae,116.92,36.3,legged,female,mean
Chamaeleo dilepis,Sauria,Acrodontia,Chamaeleonidae,87.00,13.2,legged,unsexed,heaviest
Chamaeleo hoehnelii,Sauria,Acrodontia,Chamaeleonidae,80.00,17.7,legged,female,mean
Chamaeleo jacksonii,Sauria,Acrodontia,Chamaeleonidae,105.00,37.5,legged,female,mean
Chamaeleo melleri,Sauria,Acrodontia,Chamaeleonidae,280.00,344.5,legged,unsexed,heaviest
Chamaeleo montium,Sauria,Acrodontia,Chamaeleonidae,82.20,9.0,legged,female,mean
Chamaeleo namaquensis,Sauria,Acrodontia,Chamaeleonidae,112.60,58.1,legged,male,mean
Chamaeleo senegalensis,Sauria,Acrodontia,Chamaeleonidae,125.00,31.1,legged,unsexed,heaviest
Furcifer angeli,Sauria,Acrodontia,Chamaeleonidae,160.00,55.5,legged,male,heaviest
Furcifer campani,Sauria,Acrodontia,Chamaeleonidae,60.00,6.0,legged,male,heaviest
Furcifer labordi,Sauria,Acrodontia,Chamaeleonidae,76.97,7.6,legged,female,heaviest
Furcifer lateralis,Sauria,Acrodontia,Chamaeleonidae,110.00,40.0,legged,male,heaviest
Furcifer oustaleti,Sauria,Acrodontia,Chamaeleonidae,299.00,299.0,legged,male,heaviest
Furcifer verrucosus,Sauria,Acrodontia,Chamaeleonidae,183.00,115.0,legged,male,heaviest
Furcifer willsii,Sauria,Acrodontia,Chamaeleonidae,75.00,11.0,legged,female,heaviest
Chamaesaura anguina,Sauria,Scincimorpha,Cordylidae,108.30,4.7,reduced,unsexed,mean
Chamaesaura macrolepis,Sauria,Scincimorpha,Cordylidae,120.42,11.6,reduced,unsexed,mean
Cordylus cordylus,Sauria,Scincimorpha,Cordylidae,82.00,17.3,legged,unsexed,mean
Cordylus giganteus,Sauria,Scincimorpha,Cordylidae,140.00,131.2,legged,unsexed,mean
Cordylus melanotus,Sauria,Scincimorpha,Cordylidae,91.00,17.0,legged,unsexed,mean
Cordylus microlepidotus,Sauria,Scincimorpha,Cordylidae,138.00,68.5,legged,unsexed,heaviest
Cordylus niger,Sauria,Scincimorpha,Cordylidae,92.00,19.0,legged,unsexed,heaviest
Cordylus oelofseni,Sauria,Scincimorpha,Cordylidae,69.00,10.0,legged,unsexed,heaviest
Cordylus polyzonus,Sauria,Scincimorpha,Cordylidae,110.00,40.6,legged,female,heaviest
Platysaurus capensis,Sauria,Scincimorpha,Cordylidae,73.25,6.1,legged,unsexed,mean
Platysaurus guttatus,Sauria,Scincimorpha,Cordylidae,95.00,12.2,legged,unsexed,heaviest
Platysaurus intermedius,Sauria,Scincimorpha,Cordylidae,87.50,23.5,legged,unsexed,mean
Basiliscus basiliscus,Sauria,Iguania,Corytophanidae,215.00,250.0,legged,male,mean
Basiliscus plumifrons,Sauria,Iguania,Corytophanidae,118.46,66.2,legged,unsexed,mean
Basiliscus vittatus,Sauria,Iguania,Corytophanidae,137.45,70.0,legged,male,mean
Corytophanes cristatus,Sauria,Iguania,Corytophanidae,111.71,43.4,legged,unsexed,mean
Crotaphytus antiquus,Sauria,Iguania,Crotaphytidae,100.40,40.4,legged,male,mean
Crotaphytus collaris,Sauria,Iguania,Crotaphytidae,102.45,37.1,legged,male,mean
Gambelia sila,Sauria,Iguania,Crotaphytidae,106.10,38.2,legged,male,mean
Gambelia wislizenii,Sauria,Iguania,Crotaphytidae,109.50,47.0,legged,female,mean
Afrogecko porphyreus,Sauria,Gekkota,Gekkonidae,49.00,1.5,legged,unsexed,heaviest
Agamura persica,Sauria,Gekkota,Gekkonidae,60.00,3.2,legged,unsexed,heaviest
Ailuronyx seychellensis,Sauria,Gekkota,Gekkonidae,94.13,36.0,legged,female,mean
Alsophylax pipiens,Sauria,Gekkota,Gekkonidae,41.60,1.5,legged,unsexed,heaviest
Asaccus montanus,Sauria,Gekkota,Gekkonidae,36.40,1.0,legged,male,heaviest
Bunopus blanfordii,Sauria,Gekkota,Gekkonidae,42.81,1.7,legged,male,mean
Bunopus tuberculatus,Sauria,Gekkota,Gekkonidae,43.00,1.6,legged,unsexed,heaviest
Calodactylodes illingworthorum,Sauria,Gekkota,Gekkonidae,82.00,9.2,legged,female,heaviest
Chondrodactylus angulifer,Sauria,Gekkota,Gekkonidae,75.50,15.7,legged,unsexed,mean
Chondrodactylus bibronii,Sauria,Gekkota,Gekkonidae,65.10,12.8,legged,unsexed,mean
Christinus guentheri,Sauria,Gekkota,Gekkonidae,76.30,14.6,legged,male,mean
Christinus marmoratus,Sauria,Gekkota,Gekkonidae,51.60,3.7,legged,female,mean
Coleodactylus amazonicus,Sauria,Gekkota,Gekkonidae,20.44,0.2,legged,unsexed,mean
Coleodactylus septentrionalis,Sauria,Gekkota,Gekkonidae,26.94,0.4,legged,unsexed,mean
Coleonyx brevis,Sauria,Gekkota,Gekkonidae,56.05,3.2,legged,unsexed,mean
Coleonyx elegans,Sauria,Gekkota,Gekkonidae,85.73,11.2,legged,female,mean
Coleonyx mitratus,Sauria,Gekkota,Gekkonidae,80.65,12.1,legged,unsexed,mean
Coleonyx reticulatus,Sauria,Gekkota,Gekkonidae,81.00,8.9,legged,unsexed,mean
Coleonyx switaki,Sauria,Gekkota,Gekkonidae,75.60,9.3,legged,unsexed,mean
Coleonyx variegatus,Sauria,Gekkota,Gekkonidae,59.83,3.9,legged,female,mean
Colopus wahlbergii,Sauria,Gekkota,Gekkonidae,47.90,2.6,legged,unsexed,mean
Crenadactylus ocellatus,Sauria,Gekkota,Gekkonidae,40.00,0.5,legged,unsexed,mean
Cyrtodactylus cryptus,Sauria,Gekkota,Gekkonidae,77.12,8.0,legged,female,mean
Cyrtopodion amictophole,Sauria,Gekkota,Gekkonidae,39.00,1.4,legged,unsexed,heaviest
Cyrtopodion caspium,Sauria,Gekkota,Gekkonidae,72.00,6.5,legged,unsexed,heaviest
Cyrtopodion fedtschenkoi,Sauria,Gekkota,Gekkonidae,77.00,9.0,legged,unsexed,heaviest
Cyrtopodion kotschyi,Sauria,Gekkota,Gekkonidae,40.90,2.0,legged,unsexed,mean
Cyrtopodion longipes,Sauria,Gekkota,Gekkonidae,62.00,3.8,legged,unsexed,mean
Cyrtopodion scabrum,Sauria,Gekkota,Gekkonidae,50.00,2.8,legged,unsexed,heaviest
Cyrtopodion spinicaudum,Sauria,Gekkota,Gekkonidae,48.20,2.5,legged,unsexed,heaviest
Cyrtopodion turcmenicum,Sauria,Gekkota,Gekkonidae,65.80,16.3,legged,unsexed,mean
Diplodactylus conspicillatus,Sauria,Gekkota,Gekkonidae,61.85,3.9,legged,unsexed,mean
Diplodactylus ornatus,Sauria,Gekkota,Gekkonidae,54.00,2.2,legged,unsexed,mean
Diplodactylus polyophthalmus,Sauria,Gekkota,Gekkonidae,53.00,3.1,legged,unsexed,mean
Diplodactylus pulcher,Sauria,Gekkota,Gekkonidae,56.00,2.7,legged,unsexed,mean
Diplodactylus tessellatus,Sauria,Gekkota,Gekkonidae,47.20,2.5,legged,unsexed,mean
Eublepharis angramainyu,Sauria,Gekkota,Gekkonidae,155.75,86.6,legged,unsexed,mean
Eublepharis fuscus,Sauria,Gekkota,Gekkonidae,111.00,34.3,legged,unsexed,mean
Eublepharis macularius,Sauria,Gekkota,Gekkonidae,125.05,59.7,legged,unsexed,mean
Eublepharis turcmenicus,Sauria,Gekkota,Gekkonidae,143.00,62.0,legged,unsexed,heaviest
Gehyra mutilata,Sauria,Gekkota,Gekkonidae,54.65,1.7,legged,unsexed,mean
Gehyra oceanica,Sauria,Gekkota,Gekkonidae,97.50,7.9,legged,unsexed,mean
Gehyra pilbara,Sauria,Gekkota,Gekkonidae,47.50,3.6,legged,unsexed,mean
Gehyra punctata,Sauria,Gekkota,Gekkonidae,52.50,3.7,legged,unsexed,mean
Gehyra purpurascens,Sauria,Gekkota,Gekkonidae,62.00,8.3,legged,unsexed,mean
Gehyra variegata,Sauria,Gekkota,Gekkonidae,49.50,3.0,legged,unsexed,mean
Gekko gecko,Sauria,Gekkota,Gekkonidae,151.60,63.2,legged,unsexed,mean
Gonatodes albogularis,Sauria,Gekkota,Gekkonidae,40.67,2.2,legged,female,mean
Gonatodes annularis,Sauria,Gekkota,Gekkonidae,43.44,1.5,legged,male,mean
Gonatodes antillensis,Sauria,Gekkota,Gekkonidae,38.00,1.8,legged,unsexed,heaviest
Gonatodes concinnatus,Sauria,Gekkota,Gekkonidae,43.29,2.0,legged,unsexed,mean
Gonatodes hasemani,Sauria,Gekkota,Gekkonidae,39.95,1.7,legged,female,mean
Gonatodes humeralis,Sauria,Gekkota,Gekkonidae,36.70,1.2,legged,male,mean
Goniurosaurus araneus,Sauria,Gekkota,Gekkonidae,110.00,22.3,legged,unsexed,mean
Goniurosaurus kuroiwae,Sauria,Gekkota,Gekkonidae,74.10,10.7,legged,unsexed,mean
Goniurosaurus lichtenfelderi,Sauria,Gekkota,Gekkonidae,93.83,12.4,legged,female,mean
Goniurosaurus luii,Sauria,Gekkota,Gekkonidae,108.90,23.0,legged,female,mean
Gymnodactylus geckoides,Sauria,Gekkota,Gekkonidae,39.33,2.2,legged,unsexed,mean
Hemidactylus bowringii,Sauria,Gekkota,Gekkonidae,46.70,2.3,legged,female,mean
Hemidactylus brookii,Sauria,Gekkota,Gekkonidae,52.85,2.0,legged,male,mean
Hemidactylus fasciatus,Sauria,Gekkota,Gekkonidae,75.85,7.9,legged,female,mean
Hemidactylus flaviviridis,Sauria,Gekkota,Gekkonidae,95.00,18.0,legged,unsexed,heaviest
Hemidactylus frenatus,Sauria,Gekkota,Gekkonidae,49.20,3.3,legged,male,mean
Hemidactylus mabouia,Sauria,Gekkota,Gekkonidae,55.10,4.5,legged,female,mean
Hemidactylus mercatorius,Sauria,Gekkota,Gekkonidae,48.50,2.4,legged,female,mean
Hemidactylus palaichthus,Sauria,Gekkota,Gekkonidae,54.90,4.1,legged,unsexed,mean
Hemidactylus platyurus,Sauria,Gekkota,Gekkonidae,55.10,3.8,legged,female,mean
Hemidactylus turcicus,Sauria,Gekkota,Gekkonidae,47.10,2.8,legged,male,mean
Hemitheconyx caudicinctus,Sauria,Gekkota,Gekkonidae,113.55,44.0,legged,unsexed,mean
Heteronotia binoei,Sauria,Gekkota,Gekkonidae,48.00,1.8,legged,unsexed,mean
Holodactylus africanus,Sauria,Gekkota,Gekkonidae,73.00,8.6,legged,unsexed,mean
Homonota gaudichaudii,Sauria,Gekkota,Gekkonidae,32.98,0.9,legged,male,mean
Hoplodactylus chrysosireticus,Sauria,Gekkota,Gekkonidae,70.00,6.4,legged,unsexed,mean
Hoplodactylus cryptozoicus,Sauria,Gekkota,Gekkonidae,87.00,18.4,legged,unsexed,heaviest
Hoplodactylus duvaucelii,Sauria,Gekkota,Gekkonidae,160.00,118.0,legged,unsexed,heaviest
Hoplodactylus maculatus,Sauria,Gekkota,Gekkonidae,67.30,8.1,legged,unsexed,mean
Hoplodactylus pacificus,Sauria,Gekkota,Gekkonidae,86.10,19.6,legged,female,mean
Hoplodactylus stephensi,Sauria,Gekkota,Gekkonidae,75.40,9.7,legged,female,mean
Lepidoblepharis hoogmoedi,Sauria,Gekkota,Gekkonidae,27.00,0.4,legged,female,mean
Lepidoblepharis xanthostigma,Sauria,Gekkota,Gekkonidae,32.61,0.7,legged,unsexed,mean
Lepidodactylus gardineri,Sauria,Gekkota,Gekkonidae,53.40,2.8,legged,unsexed,heaviest
Lepidodactylus listeri,Sauria,Gekkota,Gekkonidae,46.70,2.3,legged,unsexed,mean
Lepidodactylus lugubris,Sauria,Gekkota,Gekkonidae,44.75,1.4,legged,unsexed,mean
Lucasium alboguttatum,Sauria,Gekkota,Gekkonidae,56.00,2.9,legged,unsexed,mean
Lucasium damaeum,Sauria,Gekkota,Gekkonidae,51.80,2.2,legged,unsexed,mean
Lucasium squarrosum,Sauria,Gekkota,Gekkonidae,53.50,2.0,legged,unsexed,mean
Lucasium stenodactylum,Sauria,Gekkota,Gekkonidae,53.50,5.6,legged,unsexed,mean
Lygodactylus capensis,Sauria,Gekkota,Gekkonidae,34.60,0.9,legged,unsexed,mean
Lygodactylus klugei,Sauria,Gekkota,Gekkonidae,29.70,0.7,legged,female,mean
Lygodactylus picturatus,Sauria,Gekkota,Gekkonidae,35.29,1.5,legged,female,mean
Nactus pelagicus,Sauria,Gekkota,Gekkonidae,80.00,3.9,legged,unsexed,heaviest
Naultinus manukanus,Sauria,Gekkota,Gekkonidae,67.70,6.9,legged,unsexed,mean
Nephrurus laevissimus,Sauria,Gekkota,Gekkonidae,76.70,7.3,legged,unsexed,mean
Nephrurus levis,Sauria,Gekkota,Gekkonidae,84.55,11.0,legged,unsexed,mean
Nephrurus stellatus,Sauria,Gekkota,Gekkonidae,85.00,13.1,legged,unsexed,mean
Nephrurus vertebralis,Sauria,Gekkota,Gekkonidae,80.30,8.4,legged,unsexed,mean
Oedura castelnaui,Sauria,Gekkota,Gekkonidae,97.00,14.1,legged,female,heaviest
Oedura lesueurii,Sauria,Gekkota,Gekkonidae,63.70,3.7,legged,female,mean
Oedura marmorata,Sauria,Gekkota,Gekkonidae,100.00,15.4,legged,unsexed,mean
Oedura monilis,Sauria,Gekkota,Gekkonidae,79.80,6.1,legged,female,mean
Oedura reticulata,Sauria,Gekkota,Gekkonidae,70.00,2.7,legged,unsexed,heaviest
Oedura tryoni,Sauria,Gekkota,Gekkonidae,80.00,11.0,legged,female,mean
Pachydactylus capensis,Sauria,Gekkota,Gekkonidae,51.55,4.0,legged,unsexed,mean
Pachydactylus rangei,Sauria,Gekkota,Gekkonidae,60.25,2.8,legged,unsexed,mean
Pachydactylus rugosus,Sauria,Gekkota,Gekkonidae,52.00,4.3,legged,unsexed,mean
Perochirus scutellatus,Sauria,Gekkota,Gekkonidae,116.50,41.1,legged,male,mean
Phelsuma abbotti,Sauria,Gekkota,Gekkonidae,54.58,4.0,legged,male,mean
Phelsuma astriata,Sauria,Gekkota,Gekkonidae,52.15,3.4,legged,male,mean
Phelsuma cepediana,Sauria,Gekkota,Gekkonidae,60.00,5.0,legged,unsexed,heaviest
Phelsuma laticauda,Sauria,Gekkota,Gekkonidae,53.05,2.9,legged,unsexed,mean
Phelsuma lineata,Sauria,Gekkota,Gekkonidae,56.25,3.8,legged,unsexed,mean
Phelsuma madagascariensis,Sauria,Gekkota,Gekkonidae,94.47,20.7,legged,male,mean
Phyllodactylus lanei,Sauria,Gekkota,Gekkonidae,63.75,7.7,legged,female,mean
Phyllopezus pollicaris,Sauria,Gekkota,Gekkonidae,75.35,10.6,legged,female,mean
Phyllurus championae,Sauria,Gekkota,Gekkonidae,68.70,6.2,legged,female,heaviest
Pseudogonatodes guianensis,Sauria,Gekkota,Gekkonidae,25.50,0.6,legged,male,mean
Ptenopus garrulus,Sauria,Gekkota,Gekkonidae,47.60,3.0,legged,unsexed,mean
Ptychozoon kuhli,Sauria,Gekkota,Gekkonidae,80.83,7.7,legged,unsexed,mean
Ptyodactylus guttatus,Sauria,Gekkota,Gekkonidae,75.52,10.9,legged,male,mean
Ptyodactylus hasselquistii,Sauria,Gekkota,Gekkonidae,80.00,9.3,legged,male,mean
Rhoptropus boultoni,Sauria,Gekkota,Gekkonidae,57.00,4.8,legged,unsexed,mean
Rhynchoedura ornata,Sauria,Gekkota,Gekkonidae,50.45,1.8,legged,unsexed,mean
Sphaerodactylus argivus,Sauria,Gekkota,Gekkonidae,22.50,0.3,legged,unsexed,mean
Sphaerodactylus ariasae,Sauria,Gekkota,Gekkonidae,17.90,0.1,legged,unsexed,heaviest
Sphaerodactylus cinereus,Sauria,Gekkota,Gekkonidae,37.00,1.0,legged,unsexed,heaviest
Sphaerodactylus macrolepis,Sauria,Gekkota,Gekkonidae,35.00,0.5,legged,unsexed,heaviest
Sphaerodactylus nicholsi,Sauria,Gekkota,Gekkonidae,20.00,0.3,legged,unsexed,mean
Sphaerodactylus notatus,Sauria,Gekkota,Gekkonidae,30.00,0.5,legged,unsexed,heaviest
Sphaerodactylus parthenopion,Sauria,Gekkota,Gekkonidae,18.00,0.2,legged,unsexed,heaviest
Sphaerodactylus vincenti,Sauria,Gekkota,Gekkonidae,27.05,0.5,legged,female,mean
