AY,ID,Final,Grade
2019,419,0.856,B
2017,420,0.839,B
2018,421,0.937,A
2016,422,0.661,D
2016,423,0.790,B-
2018,424,0.746,C
2019,425,0.791,B-
2016,426,0.364,F
2015,427,0.531,F
2018,428,0.648,D
2019,429,0.962,A
2019,430,0.931,A
2017,431,0.853,B
2018,432,0.934,A
2016,433,0.778,C+
2017,434,0.921,A
2018,435,0.783,C+
2017,436,0.597,D
2016,437,0.824,B
2018,438,0.822,B
2018,439,0.871,B+
2017,440,0.955,A
2019,441,0.274,F
2017,442,0.793,B-
2018,443,0.950,A
2016,444,0.852,B
