STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/12/2001,0.05,40,46,34
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/13/2001,0.07,43,57,29
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/14/2001,0,50,61,38
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/15/2001,0.32,38,51,25
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/16/2001,0,28,34,21
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/17/2001,0,36,46,26
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/18/2001,0,40,55,24
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/19/2001,0,50,69,31
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/20/2001,0.16,50,58,41
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/21/2001,0.85,45,50,39
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/22/2001,1.87,36,39,32
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/23/2001,1.03,34,36,32
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/24/2001,0,45,59,31
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/25/2001,0,50,70,30
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/26/2001,0,54,71,37
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/27/2001,0,48,65,31
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/28/2001,0,50,70,30
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/29/2001,0.01,71,83,59
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,4/30/2001,0.18,66,77,54
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/1/2001,0.13,63,78,47
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/2/2001,0.01,64,74,53
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/3/2001,0,50,59,40
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/4/2001,0,44,53,35
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/5/2001,0.06,44,57,30
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/6/2001,0.1,60,69,50
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/7/2001,0,58,68,48
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/8/2001,0,51,63,39
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/9/2001,0.31,55,76,33
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/10/2001,0.84,57,70,44
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/11/2001,0,43,50,35
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/12/2001,0.07,48,66,30
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/13/2001,0,55,69,41
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/14/2001,0.03,58,69,46
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/15/2001,0,62,73,50
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/16/2001,0.01,65,79,50
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/17/2001,0,60,75,44
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/18/2001,0,59,76,41
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/19/2001,0,60,78,42
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/20/2001,0.01,62,74,49
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/21/2001,0.77,55,62,47
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/22/2001,0.05,45,52,38
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/23/2001,0.27,43,49,37
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/24/2001,0.04,49,56,42
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/25/2001,0.54,48,52,44
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/26/2001,0.36,48,53,42
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/27/2001,0,51,62,39
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/28/2001,0,53,71,35
