index,use,day,tank,treat,date,trapped,num,sex,length,hardness
16T,Y,16,B,T,8/11/2001,TRUE,2,M,35,3
16T,Y,16,B,T,8/11/2001,TRUE,3,M,33,3
16T,Y,16,B,T,8/11/2001,TRUE,4,M,30,3
16T,Y,16,B,T,8/11/2001,TRUE,5,M,32,3
16T,Y,16,B,T,8/11/2001,TRUE,6,M,27,3
16T,Y,16,B,T,8/11/2001,TRUE,7,F,28,3
16T,Y,16,B,T,8/11/2001,TRUE,8,M,33,3
16T,Y,16,B,T,8/11/2001,TRUE,9,F,28,3
16T,Y,16,B,T,8/11/2001,TRUE,10,F,30,3
16T,Y,16,B,T,8/11/2001,TRUE,11,F,29,3
16T,Y,16,B,T,8/11/2001,TRUE,12,F,28,3
16T,Y,16,B,T,8/11/2001,TRUE,13,F,28,3
16T,Y,16,B,T,8/11/2001,TRUE,14,M,29,3
16T,Y,16,B,T,8/11/2001,TRUE,15,F,31,3
16T,Y,16,B,T,8/11/2001,TRUE,16,M,30,3
16T,Y,16,B,T,8/11/2001,TRUE,17,F,25,3
16T,Y,16,B,T,8/11/2001,TRUE,18,F,23,3
16T,Y,16,B,T,8/11/2001,TRUE,19,M,26,3
16T,Y,16,B,T,8/11/2001,TRUE,20,F,28,3
16T,Y,16,B,T,8/11/2001,TRUE,21,M,28,3
16T,Y,16,B,T,8/11/2001,TRUE,22,M,28,3
17C,Y,17,A,C,8/12/2001,FALSE,1,M,28,2
17C,Y,17,A,C,8/12/2001,FALSE,2,F,30,3
17C,Y,17,A,C,8/12/2001,FALSE,3,F,27,3
17C,Y,17,A,C,8/12/2001,FALSE,4,F,25,3
17C,Y,17,A,C,8/12/2001,FALSE,5,M,27,3
17C,Y,17,A,C,8/12/2001,FALSE,6,F,26,3
17C,Y,17,A,C,8/12/2001,FALSE,7,M,26,3
17C,Y,17,A,C,8/12/2001,FALSE,8,F,27,3
17C,Y,17,A,C,8/12/2001,FALSE,9,F,28,3
17C,Y,17,A,C,8/12/2001,FALSE,10,F,25,3
17C,Y,17,A,C,8/12/2001,FALSE,11,F,23,3
17C,Y,17,A,C,8/12/2001,FALSE,12,F,26,3
17C,Y,17,A,C,8/12/2001,FALSE,13,F,24,3
17C,Y,17,A,C,8/12/2001,FALSE,14,F,24,3
17C,Y,17,A,C,8/12/2001,FALSE,15,M,24,3
17C,Y,17,A,C,8/12/2001,FALSE,16,F,23,3
17C,Y,17,A,C,8/12/2001,FALSE,17,F,25,3
17C,Y,17,A,C,8/12/2001,FALSE,18,M,22,3
17C,Y,17,A,C,8/12/2001,FALSE,19,F,23,3
17C,Y,17,A,C,8/12/2001,FALSE,20,F,28,2
17C,Y,17,A,C,8/12/2001,TRUE,1,F,27,3
17C,Y,17,A,C,8/12/2001,TRUE,2,M,27,3
17C,Y,17,A,C,8/12/2001,TRUE,3,F,24,3
17C,Y,17,A,C,8/12/2001,TRUE,4,F,26,3
17C,Y,17,A,C,8/12/2001,TRUE,5,M,29,3
17C,Y,17,A,C,8/12/2001,TRUE,6,F,27,3
17C,Y,17,A,C,8/12/2001,TRUE,7,M,29,3
17C,Y,17,A,C,8/12/2001,TRUE,8,M,24,3
17C,Y,17,A,C,8/12/2001,TRUE,9,F,23,3
17C,Y,17,A,C,8/12/2001,TRUE,10,F,28,3
17T,Y,17,B,T,8/12/2001,FALSE,1,F,25,3
17T,Y,17,B,T,8/12/2001,FALSE,2,F,26,3
17T,Y,17,B,T,8/12/2001,FALSE,3,F,26,3
17T,Y,17,B,T,8/12/2001,FALSE,4,M,22,3
17T,Y,17,B,T,8/12/2001,FALSE,5,F,24,3
17T,Y,17,B,T,8/12/2001,FALSE,6,F,25,3
17T,Y,17,B,T,8/12/2001,FALSE,7,F,25,3
17T,Y,17,B,T,8/12/2001,FALSE,8,F,25,3
17T,Y,17,B,T,8/12/2001,FALSE,9,M,22,3
17T,Y,17,B,T,8/12/2001,FALSE,10,F,22,3
17T,Y,17,B,T,8/12/2001,TRUE,1,M,26,3
17T,Y,17,B,T,8/12/2001,TRUE,2,M,30,3
17T,Y,17,B,T,8/12/2001,TRUE,3,M,27,3
17T,Y,17,B,T,8/12/2001,TRUE,4,F,27,3
17T,Y,17,B,T,8/12/2001,TRUE,5,M,30,3
17T,Y,17,B,T,8/12/2001,TRUE,6,M,24,3
17T,Y,17,B,T,8/12/2001,TRUE,7,M,28,3
17T,Y,17,B,T,8/12/2001,TRUE,8,M,22,3
17T,Y,17,B,T,8/12/2001,TRUE,9,M,26,3
17T,Y,17,B,T,8/12/2001,TRUE,10,F,27,3
17T,Y,17,B,T,8/12/2001,TRUE,11,F,25,3
17T,Y,17,B,T,8/12/2001,TRUE,12,F,28,3
17T,Y,17,B,T,8/12/2001,TRUE,13,M,22,3
17T,Y,17,B,T,8/12/2001,TRUE,14,M,25,3
17T,Y,17,B,T,8/12/2001,TRUE,15,F,27,3
17T,Y,17,B,T,8/12/2001,TRUE,16,M,28,3
17T,Y,17,B,T,8/12/2001,TRUE,17,M,24,3
17T,Y,17,B,T,8/12/2001,TRUE,18,F,26,3
17T,Y,17,B,T,8/12/2001,TRUE,19,F,26,3
17T,Y,17,B,T,8/12/2001,TRUE,20,M,23,3
