index,use,day,tank,treat,date,trapped,num,sex,length,hardness
3C,Y,3,A,C,7/17/2001,FALSE,10,M,27,3
3C,Y,3,A,C,7/17/2001,FALSE,11,F,25,3
3C,Y,3,A,C,7/17/2001,FALSE,12,F,27,3
3C,Y,3,A,C,7/17/2001,FALSE,13,F,28,3
3C,Y,3,A,C,7/17/2001,FALSE,14,M,26,3
3C,Y,3,A,C,7/17/2001,FALSE,15,M,29,3
3C,Y,3,A,C,7/17/2001,FALSE,16,F,26,3
3C,Y,3,A,C,7/17/2001,FALSE,17,M,30,3
3C,Y,3,A,C,7/17/2001,FALSE,18,M,30,3
3C,Y,3,A,C,7/17/2001,FALSE,19,F,30,3
3C,Y,3,A,C,7/17/2001,FALSE,20,M,27,3
3C,Y,3,A,C,7/17/2001,FALSE,21,M,24,3
3C,Y,3,A,C,7/17/2001,FALSE,22,M,31,3
3C,Y,3,A,C,7/17/2001,FALSE,23,M,29,3
3C,Y,3,A,C,7/17/2001,FALSE,24,F,28,3
3C,Y,3,A,C,7/17/2001,FALSE,25,F,30,3
3C,Y,3,A,C,7/17/2001,FALSE,26,M,22,3
3C,Y,3,A,C,7/17/2001,FALSE,27,M,25,3
3C,Y,3,A,C,7/17/2001,FALSE,28,M,23,3
3C,Y,3,A,C,7/17/2001,TRUE,1,M,24,3
3C,Y,3,A,C,7/17/2001,TRUE,2,M,33,3
3T,Y,3,B,T,7/17/2001,FALSE,1,F,25,3
3T,Y,3,B,T,7/17/2001,FALSE,2,M,31,1
3T,Y,3,B,T,7/17/2001,FALSE,3,M,33,1
3T,Y,3,B,T,7/17/2001,FALSE,4,F,33,3
3T,Y,3,B,T,7/17/2001,FALSE,5,F,27,3
3T,Y,3,B,T,7/17/2001,FALSE,6,F,26,3
3T,Y,3,B,T,7/17/2001,FALSE,7,M,27,3
3T,Y,3,B,T,7/17/2001,FALSE,8,M,27,3
3T,Y,3,B,T,7/17/2001,FALSE,9,M,23,3
3T,Y,3,B,T,7/17/2001,FALSE,10,F,25,3
3T,Y,3,B,T,7/17/2001,FALSE,11,F,22,3
3T,Y,3,B,T,7/17/2001,FALSE,12,F,30,3
3T,Y,3,B,T,7/17/2001,FALSE,13,F,28,3
3T,Y,3,B,T,7/17/2001,FALSE,14,F,29,3
3T,Y,3,B,T,7/17/2001,FALSE,15,F,25,3
3T,Y,3,B,T,7/17/2001,TRUE,1,M,37,3
3T,Y,3,B,T,7/17/2001,TRUE,2,F,31,3
3T,Y,3,B,T,7/17/2001,TRUE,3,F,31,3
3T,Y,3,B,T,7/17/2001,TRUE,4,F,28,3
3T,Y,3,B,T,7/17/2001,TRUE,5,M,32,3
3T,Y,3,B,T,7/17/2001,TRUE,6,F,31,3
3T,Y,3,B,T,7/17/2001,TRUE,7,F,36,3
3T,Y,3,B,T,7/17/2001,TRUE,8,M,28,3
3T,Y,3,B,T,7/17/2001,TRUE,9,M,32,2
3T,Y,3,B,T,7/17/2001,TRUE,10,F,27,3
3T,Y,3,B,T,7/17/2001,TRUE,11,M,27,2
